10 2233 2004 87
79 91 98
32
91 7742
98 7189
182 3920
196 3640
273 2646
294 2457
364 1960
392 1820
455 1568
490 1456
546 1372
588 1274
637 1176
686 1092
728 980
784 910
910 784
980 728
1092 686
1176 637
1274 588
1372 546
1456 490
1568 455
1820 392
1960 364
2457 294
2646 273
3640 196
3920 182
7189 98
7742 91
67 79 35
32
35 5293
70 2686
79 2345
105 1817
140 1343
158 1190
175 1106
210 948
237 805
245 790
280 711
315 632
316 595
350 553
395 490
420 474
474 420
490 395
553 350
595 316
632 315
711 280
790 245
805 237
948 210
1106 175
1190 158
1343 140
1817 105
2345 79
2686 70
5293 35
66 42 83
32
42 5478
83 2772
84 2739
126 1826
166 1386
168 1411
210 1162
249 924
252 913
294 830
332 714
336 747
378 664
415 588
420 581
462 498
498 462
581 420
588 415
664 378
714 332
747 336
830 294
913 252
924 249
1162 210
1386 166
1411 168
1826 126
2739 84
2772 83
5478 42
64 52 87
32
52 5568
87 3328
104 2784
156 1914
174 1664
208 1392
260 1131
261 1144
312 957
348 832
364 870
416 696
416 696
435 676
520 609
522 572
572 522
609 520
676 435
696 416
696 416
832 348
870 364
957 312
1131 260
1144 261
1392 208
1664 174
1914 156
2784 104
3328 87
5568 52
75 30 65
32
30 4875
60 2470
65 2250
90 1625
120 1235
130 1140
150 975
180 845
195 750
210 715
240 650
260 570
300 520
325 450
330 455
390 390
390 390
450 325
455 330
520 300
570 260
650 240
715 210
750 195
845 180
975 150
1140 130
1235 120
1625 90
2250 65
2470 60
4875 30
50 87 66
28
66 4350
87 3300
132 2175
174 1650
198 1479
261 1122
264 1131
330 870
348 858
396 783
435 660
462 696
522 594
528 609
594 522
609 528
660 435
696 462
783 396
858 348
870 330
1122 261
1131 264
1479 198
1650 174
2175 132
3300 87
4350 66
52 84 93
28
84 4836
93 4368
168 2418
186 2184
252 1674
279 1512
336 1209
372 1092
420 1023
465 924
504 837
558 756
588 744
651 672
672 651
744 588
756 558
837 504
924 465
1023 420
1092 372
1209 336
1512 279
1674 252
2184 186
2418 168
4368 93
4836 84
68 88 57
32
57 5984
88 3876
114 2992
171 2024
176 1938
228 1496
264 1311
285 1232
342 1056
352 969
399 880
440 798
456 792
513 704
528 684
570 616
616 570
684 528
704 513
792 456
798 440
880 399
969 352
1056 342
1232 285
1311 264
1496 228
1938 176
2024 171
2992 114
3876 88
5984 57
68 67 53
32
53 4556
67 3604
106 2278
134 1802
159 1541
201 1219
212 1139
265 938
268 901
318 804
335 742
371 670
402 636
424 603
469 530
477 536
530 469
536 477
603 424
636 402
670 371
742 335
804 318
901 268
938 265
1139 212
1219 201
1541 159
1802 134
2278 106
3604 67
4556 53
55 74 72
28
72 4070
74 3960
144 2072
148 2016
216 1406
222 1368
288 1036
296 1008
360 814
370 792
432 740
444 720
504 592
518 576
576 518
592 504
720 444
740 432
792 370
814 360
1008 296
1036 288
1368 222
1406 216
2016 148
2072 144
3960 74
4070 72
